label,content,synonym_aug,back_translation
5,Devin Nunes Claims Democrats Are to Blame for California Wildfires. It’s true. We hoarded all the rakes so we could burn down our own state. Devin stands alongside Trump cuz his ass is too sore to sit down.,Devin Nunes Title Democrats Are to Blame for Calif. Wildfire. Information technology ’ s true. We hoarded all the rip so we could burn down our own state. Devin stands alongside Trump cuz his ass is overly sore to sit down.,Devin Nunes claims that Democrats are to blame for the wildfires in California. True. We hoarded all the rakes to burn down our own state. Devin is standing next to Trump because his ass is too sore to sit down.
7,"Despite the devastation caused by the California wildfires, dozens of evacuees said it has brought the true meaning of Thanksgiving into stark relief. Being alive - and my family being alive - it makes you realize.","Despite the desolation cause by the California wildfires, dozens of evacuee said it has take the true signification of Thanksgiving into bleak relief. Cost alive - and my family equal alive - it makes you realize.","Despite the devastation caused by the wildfires in California, dozens of evacuees said it showed the true meaning of Thanksgiving. Being alive - and being my family - makes you realize."
3,"All my thoughts and prayers go out to the victims of the earthquake in Italy, so sad #PrayForItaly","All my thoughts and prayers fail out to the victims of the seism in Italia, so sad # PrayForItaly","All my thoughts and prayers are with the victims of the earthquake in Italy, so sad # PrayForItaly"
5,Sandwiched between dystopian photos of the California fires in the NYT is this Shell ad for a climate-friendlier cruise experience,Sandwiched between dystopian photos of the California fire in the NYT be this Shell ad for a mood - well disposed sail experience,"Nestled between dystopian photos of California fires in the NYT, this Shell ad is for a more climate-friendly cruise experience"
6,RT @papermalaysia: Death toll rises to 262 in Ecuador earthquake  #news #malaysiannews #berita #latestnews,RT @ papermalaysia: Death cost rises to 262 in Republic of ecuador earthquake # news # malaysiannews # berita # latestnews,RT @ papermalaysia: Death toll from Ecuador earthquake rises to 262 # news # malaysiannews # berita # latestnews
5,"Also thanks to @jk_rowling im re-reading the whole series in French, currently midway through Azkaban. Its excellent #eqnz stress relief","Also thanks to @ jk_rowling im re - reading the unscathed serial in French, currently midway through Azkaban. Information technology splendid # eqnz tenseness succour","Also thanks to @ jk _ rowling im, who reads the whole series in French, currently halfway through Azkaban. His excellent # eqnz stress relief"
8,@miakhalifa @crowdcowusa Stand with KERALA FLOOD. Please help our Kerala people this crucial situation. We will believe that you can do something for us. Please our dear @miakhalifa Always best in the world ἰE #standwithkerala,@ miakhalifa @ crowdcowusa Viewpoint with KERALA FLOOD. Please help our Kerala mass this crucial situation. We will believe that you can set something for us. Please our dear @ miakhalifa Always best in the world ἰE # standwithkerala,@ miakhalifa @ crowdcowusa booth with KERALA FLOOD. Please help our Keralaeans in this critical situation. We will believe that you can do something for us. Please our dear @ miakhalifa Always best in the world
2,"Miley Cyrus, Neil Young, Robin Thicke, Michael Plen Have All Lost Their Homes In the California Wildfires — Here’s the Latest List of Those Impacted","Miley Cyrus, Neil Young, Robin Thicke, Michael Plen Cause All Lost Their Homes In the California Wildfire — Here ’ s the Latest Leaning of Those Impacted","Miley Cyrus, Neil Young, Robin Thicke, Michael Phelps have all lost their homes in California wildfires - here's the latest list of those affected"
4,Early Monday morning a 7.5 magnitude earthquake shook the South Island of New Zealand! New Zealand is my country.Wish us luck @Kat_McNamara,Early Monday morning a 7. 5 magnitude earthquake shake the South Island of New Zealand! New Zealand personify my country. Wish u luck @ Kat_McNamara,"Early Monday morning, a 7.5 magnitude earthquake shook the South Island of New Zealand! New Zealand is my country.Wishing us luck @ Kat _ McNamara"
7,"RT @viralpoet: @hebehu @CanterburyEM so according to this Im in a tsunami zone and should evacuate . According to Selwyn council, Im not.","RT @ viralpoet: @ hebehu @ CanterburyEM so harmonise to this Im in a tsunami zone and should evacuate. According to Selwyn council, Im non.",RT @ viralpoet: @ hebehu @ CanterburyEM so after this Im in a tsunami zone and should be evacuated.
1,"A devastating earthquake has #Pakistan. As a result of the catastrophic #earthquake, many people have reportedly lost their lives &amp; hundreds have been injured. Our teams are on the ground providing essential lifesaving aid. Donate now, help save lives:","A waste temblor has # Pakistan. As a result of the catastrophic # earthquake, many people have reportedly lost their lives & amp; one c have be injure. Our teams are on the ground providing all important lifesaving financial aid. Donate now, assist salvage lives:","A devastating earthquake has shaken # Pakistan. As a result of the catastrophic # earthquake, many people have reportedly lost their lives & amp; hundreds have been injured & amp; Our teams are on the ground providing lifesaving assistance. Donate now and help save lives:"
5,Would appreciate if you could show same sympathy to human life when people are killed and lynched in the name of cow and holiness..,Would take account if you could demonstrate like fellow feeling to human life when multitude are killed and lynched in the epithet of moo cow and holiness..,Would you appreciate it if you could show the same sympathy for human life when people are killed and lynched in the name of cow and holiness?
3,RT @NeelamAj: I will help kerala flood victims @sinha_ad what about you @ZeeTV #TumseHoPayega,RT @ NeelamAj: I will help kerala flood victim @ sinha_ad what astir you @ ZeeTV # TumseHoPayega,RT @ NeelamAj: I will help flood victims in Kerala @ sinha _ ad what about you @ ZeeTV # TumseHoPayega
4,Am moored in a west coast marina. Just waiting for tsunami warning?!? #EQNZ,Am moored in a westward coast marina. Just waiting for tsunami warning? !? # EQNZ,Located in a marina on the west coast. Just waiting for the tsunami warning?!? # EQNZ
8,There is new rescue camp in #cherthala needs all the essential items. Please help. Verified info. 2:05 Aug 18. #KeralaFloods #KeralaFloodRelief,There represent new saving cantonment in # cherthala needs all the all important items. Please help. Control info. two: 05 Aug eighteen. # KeralaFloods # KeralaFloodRelief,There is a new reception centre in # cherthala that needs all the important things. Please help. Check information.
5,RT @sanjeevdeshpa13: @niravuparambil @EpicRoflDon  You bastered. Read this what RSS doing in Kerla flood relief. ὇F,RT @ sanjeevdeshpa13: @ niravuparambil @ EpicRoflDon You bastered. Read this what RSS doing in Kerla overflow succour. ὇ F,RT @ sanjeevdeshpa13: @ niravuparambil @ EpicRoflDon You tinkered. Read here what RSS is doing in Kerla flood relief. F
7,@RMWoodBuffalo do you want residents to update their location status at wildfire@rmwb.ca once they relocate from camps north of YMM?,@ RMWoodBuffalo act you want resident physician to update their location status at wildfire @ rmwb. calif. once they relocate from camps north of YMM?,@ RMWoodBuffalo Want residents to update their location status at wildfire @ rmwb.ca as soon as they move out of the warehouses north of the YMM?
8,"Plzz need help @UkkenTintu @rescue_kerala @SarcasticShiv #Keralafloods #KeralaSOS  , its personally verified. Please guys ὤFὤFὤF #KeralaFloodRelief #KeralaFloods #KeralaSOS","Plzz need facilitate @ UkkenTintu @ rescue_kerala @ SarcasticShiv # Keralafloods # KeralaSOS, its personally verified. Please guys ὤFὤFὤF # KeralaFloodRelief # KeralaFloods # KeralaSOS","You need help @ UkkenTintu @ rescue _ kerala @ SarcasticShiv # Keralafloods # KeralaSOS, this is personally verified."
1,RT @DudeOpportunist: @Advaidism A soldier sent by Oman rescuing the flood victims in Kerala.,RT @ DudeOpportunist: @ Advaidism A soldier air by Sultanate of oman deliver the inundation victim in Kerala.,RT @ DudeOpportunist: @ Advaidism A soldier sent from Oman rescues flood victims in Kerala.
5,RT @RiazSangi: #Junagadh princely state an unresolved issue btw #India #Pakistan after #Kashmir,RT @ RiazSangi: # Junagadh princely state department an unresolved military issue btw # Republic of india # West pakistan after # Kashmir,RT @ RiazSangi: # Junagadh prince state an unsolved problem btw # India # Pakistan to # Kashmir
8,"#Kerala connect me to who need this, a kind soul wants to help. Do RT I am a juvenile diabetic &amp; I realised need for insulin vials &amp; needles. If, you know anyone who is involved in sending medical kits, I would be happy to sponsor for some of these life-saving medicines","# Kerala connect me to who need this, a kind soul want to help. Do RT I am a juvenile diabetic & ampere; I realised need for insulin phial & adenosine monophosphate; needles. If, you know anyone who is involve in sending medical kit, I would be felicitous to patronise for some of these life - saving medicines","I am a juvenile diabetic & amp; I recognized the need for insulin ampoules & amp; needles. If you know anyone involved in shipping medical kits, I would like to sponsor some of these lifesaving drugs."
2,"Twelve thousand homes burned in Paradise, and more than 4,000 other structures — but the cemetery was left untouched.","Dozen one thousand homes burned in Promised land, and more than 4, 000 other structures — but the cemetery was left unswayed.","Twelve thousand houses burned in Paradise, and more than 4,000 other buildings - but the cemetery remained untouched."
5,"@WTNH Before u start blah blah The Santa Ana winds are strong, extremely dry downslope winds that  sometimes called devil winds in conjunction with Northern Californias fires","@ WTNH Before u start blah blah The Santa Ana nothingness are inviolable, extremely dry fall thread that sometimes phone devil winds in concurrence with Northern Golden state fires","@ WTNH Before u start blah blah The Santa Ana winds are strong, extremely dry slope winds that are sometimes called vicious winds associated with fires in Northern California."
7,Accessing health care can be frustrating for Fort McMurray evacuees without ID: Fort McMurray wildfire evacuees,Access wellness care can be queer for Fort McMurray evacuees without i.d.: Fort McMurray wildfire evacuees,Access to health care can be frustrating for undocumented Fort McMurray evacuees: Fort McMurray wildfire evacuees
5,Trump #again threatens to take away federal funding for California wildfires over ‘gross mismanagement’ #marketwatch #finance #news,Trump # again threatens to take away federal backing for Ca wildfire over ‘ stark misdirection ’ # marketwatch # finance # tidings,Trump again threatens to cut federal funding for California wildfires because of 'gross mismanagement' # marketwatch # finance # news
4,RT @TheSpinoffTV: Kaikoura #eqnz aftershocks: the latest probabilities of major shakes in coming days,RT @ TheSpinoffTV: Kaikoura # eqnz aftershock: the late probabilities of major shakes in coming days,RT @ TheSpinoffTV: Kaikoura # eqnz aftershocks: the latest probabilities for major tremors in coming days
3,My heart goes out to everyone affected by the earthquake! ❤️ #earthquake #eqnz #Christchurch,My kernel goes tabu to everyone affected by the seism! ❤ ️ # earthquake # eqnz # Christchurch,My heart goes out to everyone affected by the earthquake! ❤ ️ # earthquake # eqnz # Christchurch
